combo_id,grid_ordinal,batch_id,method,e,bh,trw,k,w,m,entry_fill_mode,entry_execution_policy,entry_slippage,speed_window_bars,baseline_sampling_policy,strategy_id,exit_mode,speed_exit_enabled,rebound_exit_enabled,train_trade_count,train_return,train_return_excluding_gap_spanning_trades,train_avg_trade,train_max_drawdown,gap_spanning_trade_count,high_single_bar_share_ge_0p8_count,signal_single_bar_share_median,signal_single_bar_share_p95,synthetic_signal_trade_count,segment_end_exit_count,rebound_exit_count,speed_exit_count,scenario_1_qualified,scenario_2_qualified,scenario_3_qualified,qualified_scenario_count,scenario_schema_id,scenario_selection_mode,train_max_drawdown_abs,source_campaign_id,source_stage_id,source_stage_root,source_plan_fingerprint,source_stage_key,scenario_3_qualified_segment_count,scenario_3_failed_segment_ids,train_cost_adjusted_return,train_cost_adjusted_avg_trade,train_cost_adjusted_max_drawdown,train_cost_adjusted_max_drawdown_abs,round_trip_cost_bps,estimated_total_commission_quote,estimated_total_slippage_quote,estimated_total_cost_quote,cost_quote_currency,cost_model_id,estimated_total_commission_krw,estimated_total_slippage_krw,estimated_total_cost_krw,waited_entry_count,maximum_entry_wait_bars,holding_bar_distance_median,holding_bar_distance_p95,scenario_3_cost_adjusted_return_rank,scenario_3_gross_return_rank,scenario_3_total_return_rank,scenario_3_diagnostic_rank,neighbor_distance,e_family,bh_family
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s144_rx1_e30_bh456_trw9_k0p8_w32_m0p5_c7479ea68e,19,batch_00003,rolling_tr_sum,30,456,9,0.8,32,0.5,calculated_threshold,wait_next_real_trade,0.0,144,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1053,0.4647880729118621,0.3466634862935991,0.0003692840343084,-0.03369790444354,11,67,0.377358490566041,0.8614452214452024,424,0,1048,5,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.03369790444354,v4_4_positive_entry_signal_repair_20260805,continuation_round_45_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_45_ai_generated_leap_all_window,3abdba02c2c0b9e12bcec363ca6b7e324eba28b24f2ca675928a5b845fd9b433,v4_4_positive_entry_signal_repair_20260805::continuation_round_45_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0060149908562514,1.2417674861419507e-05,-0.1076185326025405,0.1076185326025405,3.568663594470046,9140250.6,11653551.0,20793801.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,9140250.6,11653551.0,20793801.6,5,10,12.0,94.39999999999998,,,,21370.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e499_bh240_trw22_k1_w6_m4p5_471877e92e,14,batch_00002,rolling_tr_sum,499,240,22,1.0,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,93,0.5927883238863358,0.0898144031651067,0.0052052899117749,-0.1235430703430455,27,2,0.181069958847739,0.4717120443008819,57,0,28,65,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1235430703430455,v4_4_positive_entry_signal_repair_20260805,continuation_round_79_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_79_ai_adaptive_grid_all_window,dcb701e194e30cbed4172663f2e86e18807a9e0535709b495481c6c4bceb8f07,v4_4_positive_entry_signal_repair_20260805::continuation_round_79_ai_adaptive_grid_all_window,2,market_03,0.5410304967874842,0.0048484235523279,-0.1292294956675016,0.1292294956675016,3.568663594470046,807258.6000000001,1029231.0,1836489.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,807258.6000000001,1029231.0,1836489.6,2,8,501.0,1349.3999999999996,,,,58.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s391_rx1_e320_bh167_trw11_k1p4_w6_m4p5_44c8ae1779,2036,batch_00170,rolling_tr_sum,320,167,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,391,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,115,0.8357260253280803,0.020170950669988,0.0055264663193205,-0.1440293022905019,35,3,0.2093023255814187,0.5223322021116104,70,1,37,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1440293022905019,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7622656605170572,0.0051695999598735,-0.1507724397230042,0.1507724397230042,3.568663594470046,998223.0,1272705.0,2270928.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,998223.0,1272705.0,2270928.0,1,1,566.0,1580.5,,,,9565.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e360_bh108_trw40_k1p4_w128_m0p8_531cdd4efa,305,batch_00039,rolling_tr_sum,360,108,40,1.4,128,0.8,calculated_threshold,wait_next_real_trade,0.0,120,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,26,0.0977160927860596,0.0559977521160677,0.0036601378651416,-0.013068695167398,2,2,0.1636127287853567,0.8747379454926622,20,0,11,15,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.013068695167398,v4_4_positive_entry_signal_repair_20260805,continuation_round_27_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_27_ai_generated_leap_all_window,2c2d58ab73977b1d6581a64a2444294f12b10a1eed12ace089069703e31af01b,v4_4_positive_entry_signal_repair_20260805::continuation_round_27_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0876116709251535,0.0033032715056946,-0.0141295691695683,0.0141295691695683,3.568663594470046,225685.2,287742.0,513427.2,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,225685.2,287742.0,513427.2,2,10,142.0,403.5,,,,14994.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw20_k1p1_w9_m4p375_c0f009f192,3489,batch_00291,rolling_tr_sum,320,240,20,1.1,9,4.375,calculated_threshold,wait_next_real_trade,0.0,330,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,90,0.584121198972396,0.0889794180884422,0.005316320554429,-0.1127779633120356,26,2,0.1870549137521724,0.4781495154591676,54,0,20,70,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1127779633120356,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.5342841276382493,0.004959454194982,-0.1179052833458393,0.1179052833458393,3.568663594470046,781218.0000000001,996030.0,1777248.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,781218.0000000001,996030.0,1777248.0,0,0,542.5,1393.6999999999994,,,,76.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s350_rx1_e300_bh960_trw48_k1p5_w64_m2p5_709527d714,280,batch_00035,rolling_tr_sum,300,960,48,1.5,64,2.5,calculated_threshold,wait_next_real_trade,0.0,350,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,13,0.0960287309506502,0.0942521305108483,0.0071568233140188,-0.0044078368968415,1,0,0.2500000000000947,0.7219047619047562,5,0,7,6,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0044078368968415,v4_4_positive_entry_signal_repair_20260805,continuation_round_36_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_36_ai_generated_leap_all_window,ee0419998a870ecc1c9052dfe3c3827edd39b4bb51a71e1b0fda774461940d0d,v4_4_positive_entry_signal_repair_20260805::continuation_round_36_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0909900383227855,0.0067999569545718,-0.0065392637308938,0.0065392637308938,3.568663594470046,112842.6,143871.0,256713.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,112842.6,143871.0,256713.6,0,0,51.0,953.1999999999998,,,,14825.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s370_rx1_e320_bh240_trw12_k1p25_w6_m4p5_98f7ebf3f6,2848,batch_00238,rolling_tr_sum,320,240,12,1.25,6,4.5,calculated_threshold,wait_next_real_trade,0.0,370,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,121,0.591270878904427,-0.0026575000640235,0.0040664848770907,-0.1729812561806352,38,3,0.2060301507537633,0.4999999999999526,69,1,38,82,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1729812561806352,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,1,market_01|market_03,0.5242474580218281,0.0037096185176437,-0.1800919980928589,0.1800919980928589,3.568663594470046,1050304.2000000002,1339107.0,2389411.2,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,1050304.2000000002,1339107.0,2389411.2,1,1,530.0,1516.0,,,,2159.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e216_bh360_trw4_k1p5_w24_m0p8_73af7ce018,227,batch_00029,rolling_tr_sum,216,360,4,1.5,24,0.8,calculated_threshold,wait_next_real_trade,0.0,120,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1053,0.5267517191338016,0.3279793921168994,0.0004148906468194,-0.0749967361440069,27,69,0.3823529411765138,0.8663650075413994,434,1,1025,27,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0749967361440069,v4_4_positive_entry_signal_repair_20260805,continuation_round_51_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_51_ai_generated_leap_all_window,7266818f0c44ddd7c455e19d09d810827be9847ba7e5024dfcc1cf3e2c04ae28,v4_4_positive_entry_signal_repair_20260805::continuation_round_51_ai_generated_leap_all_window,1,market_01|market_02,0.0485846431551422,5.802428737242888e-05,-0.1305235885930367,0.1305235885930367,3.568663594470046,9140250.6,11653551.0,20793801.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,9140250.6,11653551.0,20793801.6,4,8,25.0,181.79999999999995,,,,6392.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s54_rx1_e216_bh360_trw7_k0p6_w96_m1p1_f54f811e54,226,batch_00029,rolling_tr_sum,216,360,7,0.6,96,1.1,calculated_threshold,wait_next_real_trade,0.0,54,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1202,0.608397166755531,0.4154871714581567,0.0004140508137506,-0.0757351478367195,27,94,0.4414999414999585,0.8928088803088238,395,1,747,454,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0757351478367195,v4_4_positive_entry_signal_repair_20260805,continuation_round_107_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_107_ai_generated_leap_all_window,ff712acd79eb9a4fd9ad6ad513fb52ac905c8c5cd52be26d2edb0f9dcc64d2ff,v4_4_positive_entry_signal_repair_20260805::continuation_round_107_ai_generated_leap_all_window,2,market_01,0.047461896718459,5.718445430369385e-05,-0.1283024811619886,0.1283024811619886,3.568663594470046,10433600.4,13302534.0,23736134.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,10433600.4,13302534.0,23736134.4,8,8,41.0,190.95000000000005,,,,1550.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e84_bh228_trw5_k0p8_w2_m2p5_7c2ae09612,111,batch_00014,rolling_tr_sum,84,228,5,0.8,2,2.5,calculated_threshold,wait_next_real_trade,0.0,120,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1127,0.5691387763375213,0.2790977434009161,0.0004210165490821,-0.0878552716812473,41,67,0.4425287356321711,0.8293018141836243,346,1,1024,102,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0878552716812473,v4_4_positive_entry_signal_repair_20260805,continuation_round_86_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_86_ai_generated_leap_all_window,9c30e5cc005ee3b3e764236d9e37c996ae68ec43fe5bb087205af2684d1cf1ff,v4_4_positive_entry_signal_repair_20260805::continuation_round_86_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0496105292808271,6.415018963513783e-05,-0.1410387054963877,0.1410387054963877,3.568663594470046,9782585.4,12472509.0,22255094.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,9782585.4,12472509.0,22255094.4,1,2,46.0,263.70000000000005,,,,17151.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s391_rx1_e320_bh168_trw11_k1p4_w6_m4p5_416bb73236,2045,batch_00171,rolling_tr_sum,320,168,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,391,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,115,0.8350236930835728,0.0199724641071099,0.0055231310826987,-0.1441088585512263,35,3,0.2093023255814187,0.5223322021116104,70,1,37,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1441088585512263,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7615911934765027,0.0051662647232517,-0.1508513975774901,0.1508513975774901,3.568663594470046,998223.0,1272705.0,2270928.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,998223.0,1272705.0,2270928.0,1,1,566.0,1580.5,,,,9569.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s387_rx1_e320_bh174_trw11_k1p4_w6_m4p5_4cba66afd6,2373,batch_00198,rolling_tr_sum,320,174,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,387,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,113,0.838450729339367,0.0335696543650969,0.0056369464238516,-0.1459532056055299,34,3,0.2058823529411764,0.4700515995872073,67,1,35,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1459532056055299,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7661426170627716,0.0052800800644046,-0.1526818783458395,0.1526818783458395,3.568663594470046,980862.6,1250571.0,2231433.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,980862.6,1250571.0,2231433.6,1,1,572.0,1577.0,,,,9540.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s54_rx1_e156_bh300_trw32_k1p2_w8_m12_766d366397,195,batch_00025,rolling_tr_sum,156,300,32,1.2,8,12.0,calculated_threshold,wait_next_real_trade,0.0,54,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,39,0.1035872069200707,0.0334590929655547,0.0025853793679558,-0.0127965703204822,2,4,0.1861198738170359,1.0,26,0,0,39,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0127965703204822,v4_4_positive_entry_signal_repair_20260805,continuation_round_36_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_36_ai_generated_leap_all_window,ee0419998a870ecc1c9052dfe3c3827edd39b4bb51a71e1b0fda774461940d0d,v4_4_positive_entry_signal_repair_20260805::continuation_round_36_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0883688432995986,0.0022285130085088,-0.0135055943423321,0.0135055943423321,3.568663594470046,338527.80000000005,431613.0,770140.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,338527.80000000005,431613.0,770140.8,1,8,85.0,212.7,,,,14955.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s350_rx1_e680_bh720_trw52_k1p5_w24_m10_cc94e4e8c6,53,batch_00007,rolling_tr_sum,680,720,52,1.5,24,10.0,calculated_threshold,wait_next_real_trade,0.0,350,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,11,0.1166167519237675,0.0522545895414072,0.0103195996141881,-0.0403064389585997,4,0,0.1206070287539926,0.2886183597390611,8,0,1,10,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0403064389585997,v4_4_positive_entry_signal_repair_20260805,continuation_round_19_ai_known_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_19_ai_known_grid_all_window,fedd7ee587d2cb819700591b3c5e84e9c78fcce8a085cae134b8a148dfdd8a3b,v4_4_positive_entry_signal_repair_20260805::continuation_round_19_ai_known_grid_all_window,0,market_01|market_02|market_03,0.1122837996689321,0.009962733254741,-0.0410055531647104,0.0410055531647104,3.568663594470046,95482.2,121737.0,217219.2,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,95482.2,121737.0,217219.2,0,0,657.0,2220.0,,,,13904.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s375_rx1_e320_bh240_trw12_k1p25_w6_m4p5_0dac0f4b39,2849,batch_00238,rolling_tr_sum,320,240,12,1.25,6,4.5,calculated_threshold,wait_next_real_trade,0.0,375,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,120,0.6264320349544938,0.0041658747737336,0.0042844513582731,-0.1717305586426574,37,3,0.2059562518474699,0.5002475247524301,68,1,38,81,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1717305586426574,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,1,market_01|market_03,0.558495856564877,0.0039275849988261,-0.178851626060171,0.178851626060171,3.568663594470046,1041624.0,1328040.0,2369664.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,1041624.0,1328040.0,2369664.0,1,1,534.5,1520.65,,,,2101.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e450_bh300_trw5_k1p2_w24_m0p8_01906cf130,345,batch_00044,rolling_tr_sum,450,300,5,1.2,24,0.8,calculated_threshold,wait_next_real_trade,0.0,120,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1025,0.4872031206203873,0.2774033447862531,0.0003999951847803,-0.087549601807635,28,71,0.3795620437956122,0.886090909090909,420,1,998,26,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.087549601807635,v4_4_positive_entry_signal_repair_20260805,continuation_round_92_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_92_ai_generated_leap_all_window,b5c64de8cd479417470a9287877c8240a7fb4a9564e8cf09e9c3df6584327545,v4_4_positive_entry_signal_repair_20260805::continuation_round_92_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0316722500750221,4.312882533333197e-05,-0.1254306634063986,0.1254306634063986,3.568663594470046,8897205.0,11343675.0,20240880.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,8897205.0,11343675.0,20240880.0,8,8,26.0,180.79999999999995,,,,18572.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s220_rx1_e360_bh228_trw4_k0p8_w96_m1p1_ef64d2bf8c,279,batch_00035,rolling_tr_sum,360,228,4,0.8,96,1.1,calculated_threshold,wait_next_real_trade,0.0,220,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,955,0.5458665240696916,-0.0489866893970728,0.0004894857169277,-0.1162864195305704,50,102,0.5000000000000437,0.962870619946123,221,1,857,97,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1162864195305704,v4_4_positive_entry_signal_repair_20260805,continuation_round_68_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_68_ai_generated_leap_all_window,c00303731127e30fc1e2adb5e7acb4b2b9a48d5f888b5a394d1bf4eeb6fa1ff3,v4_4_positive_entry_signal_repair_20260805::continuation_round_68_ai_generated_leap_all_window,1,market_01|market_03,0.0995057849154894,0.0001326193574807,-0.1629919789317636,0.1629919789317636,3.568663594470046,8289591.000000001,10568985.0,18858576.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,8289591.000000001,10568985.0,18858576.0,5,1,21.0,490.5999999999999,,,,5310.0,,,
v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e559_bh240_trw22_k1_w6_m4p5_86c0985775,22,batch_00003,rolling_tr_sum,559,240,22,1.0,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,90,0.5924592435167282,0.0918676926483061,0.005373243425997,-0.1156050764379659,27,2,0.1778832326718565,0.4431707317073209,56,0,27,63,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1156050764379659,v4_4_positive_entry_signal_repair_20260805,continuation_round_43_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_43_ai_adaptive_grid_all_window,9befd6d2c0962706e5670d61635ff806aa956121df677defc2bd3090956dbc53,v4_4_positive_entry_signal_repair_20260805::continuation_round_43_ai_adaptive_grid_all_window,2,market_03,0.5423628134136929,0.00501637706655,-0.1213401690582286,0.1213401690582286,3.568663594470046,781218.0000000001,996030.0,1777248.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,781218.0000000001,996030.0,1777248.0,0,0,510.0,1324.65,,,,56.0,,,
