grid_ordinal,batch_id,method,e,bh,trw,k,w,m,entry_fill_mode,entry_execution_policy,entry_slippage,speed_window_bars,baseline_sampling_policy,combo_id,strategy_id,exit_mode,speed_exit_enabled,rebound_exit_enabled,train_trade_count,train_return,train_return_excluding_gap_spanning_trades,train_avg_trade,train_max_drawdown,gap_spanning_trade_count,high_single_bar_share_ge_0p8_count,signal_single_bar_share_median,signal_single_bar_share_p95,synthetic_signal_trade_count,segment_end_exit_count,rebound_exit_count,speed_exit_count,scenario_1_qualified,scenario_2_qualified,scenario_3_qualified,qualified_scenario_count,scenario_schema_id,scenario_selection_mode,train_max_drawdown_abs,source_campaign_id,source_stage_id,source_stage_root,source_plan_fingerprint,source_stage_key,scenario_3_qualified_segment_count,scenario_3_failed_segment_ids,train_cost_adjusted_return,train_cost_adjusted_avg_trade,train_cost_adjusted_max_drawdown,train_cost_adjusted_max_drawdown_abs,round_trip_cost_bps,estimated_total_commission_quote,estimated_total_slippage_quote,estimated_total_cost_quote,cost_quote_currency,cost_model_id,estimated_total_commission_krw,estimated_total_slippage_krw,estimated_total_cost_krw,waited_entry_count,maximum_entry_wait_bars,holding_bar_distance_median,holding_bar_distance_p95,scenario_3_cost_adjusted_return_rank,scenario_3_gross_return_rank,scenario_3_total_return_rank,scenario_3_diagnostic_rank,e_family,bh_family
1,batch_00001,rolling_tr_sum,480,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e480_bh171_trw12_k1p26_w7_m4p5_7b92db0421,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,113,0.8993458383272726,0.032002177880531,0.0059283115479807,-0.145397183135348,36,4,0.206349206349157,0.532157506152625,64,1,34,78,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.145397183135348,v4_4_positive_entry_signal_repair_20260805,continuation_round_07_w_expansion_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_07_w_expansion_all_window,3c1af829e3d4b2e3f122f3dda1a12edff04f21f28720edc1d20e6baf1a8101db,v4_4_positive_entry_signal_repair_20260805::continuation_round_07_w_expansion_all_window,0,market_01|market_02|market_03,0.8246636778350547,0.0055714451885337,-0.152432619913382,0.152432619913382,3.568663594470046,980862.6,1250571.0,2231433.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,980862.6,1250571.0,2231433.6,2,1,613.0,1560.9999999999998,,,,9450.0,,
65,batch_00009,rolling_tr_sum,96,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,308,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s308_rx1_e96_bh612_trw24_k1p6_w16_m2_f621cb27e5,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,25,0.3642632521971491,0.1388475809760583,0.012748302140503,-0.0281008893419314,6,1,0.1893764434180108,0.4703583061888854,13,0,11,14,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0281008893419314,v4_4_positive_entry_signal_repair_20260805,continuation_round_15_dual_purpose_broad_and_single_axis_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_15_dual_purpose_broad_and_single_axis_all_window,9b49f80e28972524a859332a57b35a5912a9302ede9ada7770a045f8e3d40920,v4_4_positive_entry_signal_repair_20260805::continuation_round_15_dual_purpose_broad_and_single_axis_all_window,0,market_01|market_02|market_03,0.3522898896955595,0.012391435781056,-0.0301899797055136,0.0301899797055136,3.568663594470046,217005.00000000003,276675.0,493680.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,217005.00000000003,276675.0,493680.0,0,0,469.0,2066.199999999998,,,,10312.0,,
3591,batch_00300,rolling_tr_sum,320,240,22,1.0,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw22_k1_w6_m4p5_38781785af,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,89,0.6083607677498388,0.0907948500235271,0.0055461239563313,-0.1032122819023357,26,2,0.1830985915492887,0.4802953391785959,54,0,25,64,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1032122819023357,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.5583257021671111,0.0051892575968843,-0.1080687105897001,0.1080687105897001,3.568663594470046,772537.8,984963.0,1757500.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,772537.8,984963.0,1757500.8,0,0,542.0,1427.999999999999,,,,15.0,,
471,batch_00059,rolling_tr_sum,1040,456,48,1.8,32,1.8,calculated_threshold,wait_next_real_trade,0.0,120,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s120_rx1_e1040_bh456_trw48_k1p8_w32_m1p8_d41ec53238,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,10,0.0872657623940429,0.0872657623940429,0.0084549008645822,-0.0018384914513626,0,0,0.1302005628876665,0.2634377467754765,8,0,1,9,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0018384914513626,v4_4_positive_entry_signal_repair_20260805,continuation_round_90_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_90_ai_generated_leap_all_window,a09bb01440deb2c014b47acc312733f80d971e82dc7050a071a10d3dba9e24be,v4_4_positive_entry_signal_repair_20260805::continuation_round_90_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0834239252325246,0.0080980345051352,-0.0021953578108095,0.0021953578108095,3.568663594470046,86802.0,110670.0,197472.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,86802.0,110670.0,197472.0,0,0,165.5,488.04999999999967,,,,15167.0,,
4511,batch_00376,rolling_tr_sum,480,171,12,1.26,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e480_bh171_trw12_k1p26_w6_m4p5_dd126130ba,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,112,0.8983434667297963,0.0467948207723716,0.0059751926664466,-0.1450343956109342,35,4,0.2061157796451667,0.5385356849877412,66,1,35,76,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1450343956109342,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.8243515245669681,0.0056183263069996,-0.151769994194321,0.151769994194321,3.568663594470046,972182.4,1239504.0,2211686.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,972182.4,1239504.0,2211686.4,2,1,606.0,1578.25,,,,9451.0,,
69,batch_00009,rolling_tr_sum,54,300,9,0.6,128,0.6,calculated_threshold,wait_next_real_trade,0.0,90,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s90_rx1_e54_bh300_trw9_k0p6_w128_m0p6_175342a519,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1400,0.7006627172343767,0.3612817405049326,0.0003930152052946,-0.0854935828057471,25,100,0.4083069847657163,0.892059202059174,557,1,1324,75,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0854935828057471,v4_4_positive_entry_signal_repair_20260805,continuation_round_44_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_44_ai_generated_leap_all_window,f59864f35a9032a5526a7466009d4556dd3ef3c14a815b4ebd855ea4ee83844a,v4_4_positive_entry_signal_repair_20260805::continuation_round_44_ai_generated_leap_all_window,1,market_01|market_03,0.0320001333456232,3.614884584768735e-05,-0.1818787092934833,0.1818787092934833,3.568663594470046,12152280.000000002,15493800.0,27646080.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,12152280.000000002,15493800.0,27646080.0,4,8,12.0,191.04999999999995,,,,6780.0,,
21,batch_00003,rolling_tr_sum,689,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e689_bh171_trw12_k1p26_w7_m4p5_9f23a330a5,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,109,0.8907252126475114,0.0296294820566058,0.0061006375521095,-0.1343705925962833,36,4,0.206349206349157,0.5576702214930916,62,1,35,73,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1343705925962833,v4_4_positive_entry_signal_repair_20260805,continuation_round_58_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_58_ai_adaptive_grid_all_window,8f0065fa16490d9a66afeb0ad4b32c9c01b7ed9fb2468311458a5b70d96fcea9,v4_4_positive_entry_signal_repair_20260805::continuation_round_58_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.8189744365501355,0.0057437711926625,-0.1411863686974082,0.1411863686974082,3.568663594470046,946141.8,1206303.0,2152444.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,946141.8,1206303.0,2152444.8000000003,1,2,616.0,1565.9999999999998,,,,9452.0,6.0,2.0
23,batch_00003,rolling_tr_sum,667,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e667_bh171_trw12_k1p26_w7_m4p5_447b8b0722,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,110,0.880319761181529,0.0241978642782303,0.0059951719770327,-0.1347394988316905,36,4,0.2061157796451667,0.5512920426579754,62,1,35,74,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1347394988316905,v4_4_positive_entry_signal_repair_20260805,continuation_round_46_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_46_ai_adaptive_grid_all_window,2936504a57d9f659ba4991a041ef9313a0db57f8b9c1a05b299c1d44220f324b,v4_4_positive_entry_signal_repair_20260805::continuation_round_46_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.8083147261044896,0.0056383056175857,-0.1415525012010127,0.1415525012010127,3.568663594470046,954822.0,1217370.0,2172192.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,954822.0,1217370.0,2172192.0,1,1,613.0,1564.75,,,,9453.0,,
3,batch_00001,rolling_tr_sum,130,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,308,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s308_rx1_e130_bh612_trw24_k1p6_w16_m2_62c8ee2fff,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,29,0.4074178433531958,0.1282355535556889,0.0120988867996778,-0.0393403221515895,7,1,0.1893764434180108,0.4407166123778187,16,0,13,16,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0393403221515895,v4_4_positive_entry_signal_repair_20260805,continuation_round_85_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_85_ai_adaptive_grid_all_window,d7a9c6bce5a7d350a8efc8d1184ecca637db902df46af7e2b45865ab3037a969,v4_4_positive_entry_signal_repair_20260805::continuation_round_85_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.393090387816841,0.0117420204402308,-0.0420933045243803,0.0420933045243803,3.568663594470046,251725.8,320943.0,572668.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,251725.8,320943.0,572668.8,0,0,456.0,1919.3999999999985,,,,10256.0,,
3416,batch_00285,rolling_tr_sum,320,240,20,1.1,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw20_k1p1_w6_m4p5_44f15c8271,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,89,0.6078411590489361,0.090443835590172,0.0055425904265436,-0.1034274099790337,26,2,0.1830985915492887,0.4802953391785959,54,0,25,64,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1034274099790337,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.5578220737424318,0.0051857240670966,-0.1082871705979167,0.1082871705979167,3.568663594470046,772537.8,984963.0,1757500.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,772537.8,984963.0,1757500.8,0,0,542.0,1427.999999999999,,,,18.0,,
280,batch_00035,rolling_tr_sum,300,960,48,1.5,64,2.5,calculated_threshold,wait_next_real_trade,0.0,350,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s350_rx1_e300_bh960_trw48_k1p5_w64_m2p5_709527d714,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,13,0.0960287309506502,0.0942521305108483,0.0071568233140188,-0.0044078368968415,1,0,0.2500000000000947,0.7219047619047562,5,0,7,6,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0044078368968415,v4_4_positive_entry_signal_repair_20260805,continuation_round_36_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_36_ai_generated_leap_all_window,ee0419998a870ecc1c9052dfe3c3827edd39b4bb51a71e1b0fda774461940d0d,v4_4_positive_entry_signal_repair_20260805::continuation_round_36_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0909900383227855,0.0067999569545718,-0.0065392637308938,0.0065392637308938,3.568663594470046,112842.6,143871.0,256713.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,112842.6,143871.0,256713.6,0,0,51.0,953.1999999999998,,,,14825.0,,
257,batch_00033,rolling_tr_sum,480,171,16,0.95,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e480_bh171_trw16_k0p95_w6_m4p5_d382eb5611,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,114,0.8803551938909497,0.0388099612363599,0.0057866986464067,-0.1455081747842819,35,3,0.2061157796451667,0.5358173076922981,68,1,37,76,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1455081747842819,v4_4_positive_entry_signal_repair_20260805,continuation_round_14_large_multiblock_exploration_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_14_large_multiblock_exploration_all_window,821622055bbb47e9ed99b0415eac2b2465537466e000dc98c320ab3e7d6a9572,v4_4_positive_entry_signal_repair_20260805::continuation_round_14_large_multiblock_exploration_all_window,0,market_01|market_02|market_03,0.8057687232849176,0.0054298322869597,-0.1522402117454208,0.1522402117454208,3.568663594470046,989542.8,1261638.0,2251180.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,989542.8,1261638.0,2251180.8000000003,2,1,587.0,1577.75,,,,9454.0,,
31,batch_00004,rolling_tr_sum,30,720,3,0.95,8,1.5,calculated_threshold,wait_next_real_trade,0.0,54,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s54_rx1_e30_bh720_trw3_k0p95_w8_m1p5_40c512657b,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1349,0.728560120489046,0.5211593275989479,0.0004177800257617,-0.1072668642208205,27,162,0.5157894736842201,0.9668645744981932,327,1,1038,310,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1072668642208205,v4_4_positive_entry_signal_repair_20260805,continuation_round_93_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_93_ai_generated_leap_all_window,827117c6e86b6be883aefabfea35995a0525db112699a2acc2ffd053d4e893f1,v4_4_positive_entry_signal_repair_20260805::continuation_round_93_ai_generated_leap_all_window,1,market_01|market_03,0.0682050825339328,6.091366631476232e-05,-0.1465612740178775,0.1465612740178775,3.568663594470046,11709589.8,14929383.0,26638972.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,11709589.8,14929383.0,26638972.8,11,8,31.0,172.5999999999999,,,,5934.0,,
4604,batch_00384,rolling_tr_sum,576,171,12,1.26,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e576_bh171_trw12_k1p26_w6_m4p5_3240680038,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,112,0.8768213096062771,0.0366191965528723,0.0058704019255059,-0.1353933438496334,35,4,0.2061157796451667,0.5536818296054805,67,1,37,74,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1353933438496334,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.803661106484808,0.0055135355660589,-0.1422014313380939,0.1422014313380939,3.568663594470046,972182.4,1239504.0,2211686.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,972182.4,1239504.0,2211686.4,3,2,594.0,1578.25,,,,9455.0,6.0,2.0
19,batch_00003,rolling_tr_sum,606,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e606_bh171_trw12_k1p26_w7_m4p5_368b04de01,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,110,0.8744872934236874,0.0184953841404105,0.0059686649809761,-0.1438939026202053,36,4,0.2055612638068283,0.5512920426579754,63,1,34,75,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1438939026202053,v4_4_positive_entry_signal_repair_20260805,continuation_round_82_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_82_ai_adaptive_grid_all_window,6d13e32643643fb4f00ab6f6d5d8dfbe6f43ace0f6f42633f16a4a2fc409f5f3,v4_4_positive_entry_signal_repair_20260805::continuation_round_82_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.8027034940110453,0.0056117986215291,-0.1509411665797259,0.1509411665797259,3.568663594470046,954822.0,1217370.0,2172192.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,954822.0,1217370.0,2172192.0,2,2,613.0,1564.75,,,,9456.0,,
4,batch_00001,rolling_tr_sum,124,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,308,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s308_rx1_e124_bh612_trw24_k1p6_w16_m2_cca54f2990,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,29,0.4035603601407986,0.1261618260745918,0.0120028487906643,-0.0394266869784569,7,1,0.188505747126443,0.4407166123778187,16,0,13,16,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0394266869784569,v4_4_positive_entry_signal_repair_20260805,continuation_round_61_ai_adaptive_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_61_ai_adaptive_grid_all_window,e281e08e2a1c6a0bab200a09786b53977bafd4631bfeb0ec0101ce28c4f1ba41,v4_4_positive_entry_signal_repair_20260805::continuation_round_61_ai_adaptive_grid_all_window,0,market_01|market_02|market_03,0.3892708321823042,0.0116459824312173,-0.0421794526532662,0.0421794526532662,3.568663594470046,251725.8,320943.0,572668.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,251725.8,320943.0,572668.8,0,0,447.0,1919.3999999999985,,,,10257.0,,
3646,batch_00304,rolling_tr_sum,320,240,23,0.95,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw23_k0p95_w6_m4p5_efc9b7fc21,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,90,0.6079240124095877,0.0886877705218234,0.005482575966908,-0.1024721396849764,26,2,0.1907527928147012,0.4781495154591676,54,0,24,66,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1024721396849764,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.55734636606444,0.005125709607461,-0.1073099876286779,0.1073099876286779,3.568663594470046,781218.0000000001,996030.0,1777248.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,781218.0000000001,996030.0,1777248.0,0,0,542.5,1420.2499999999995,,,,19.0,,
277,batch_00035,rolling_tr_sum,360,360,24,2.2,14,0.6,calculated_threshold,wait_next_real_trade,0.0,180,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s180_rx1_e360_bh360_trw24_k2p2_w14_m0p6_5db24d55d6,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,30,0.0780340513041693,0.0349974129008565,0.0025323195136746,-0.0070582646443176,2,2,0.1740824669657457,0.7548854447439493,21,0,30,0,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0070582646443176,v4_4_positive_entry_signal_repair_20260805,continuation_round_50_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_50_ai_generated_leap_all_window,a0472e074dd03d5b9b0e132d98e8c08bc4a689a720cd8f250ccaffd1dde2568f,v4_4_positive_entry_signal_repair_20260805::continuation_round_50_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0665804495539355,0.0021754531542276,-0.008671079413535,0.008671079413535,3.568663594470046,260406.00000000003,332010.0,592416.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,260406.00000000003,332010.0,592416.0,1,9,17.0,76.49999999999997,,,,16088.0,,
